db_id,original_question,translated_question,query
concert_singer,Show countries where a singer above age 40 and a singer below 30 are from.,40 ఏళ్లు పైబడిన గాయకుడు మరియు 30 ఏళ్లలోపు గాయకుడు ఉన్న దేశాలను చూపండి.,SELECT country FROM singer WHERE age  >  40 INTERSECT SELECT country FROM singer WHERE age  <  30
concert_singer,Show names for all stadiums except for stadiums having a concert in year 2014.,2014 సంవత్సరంలో సంగీత కచేరీ ఉన్న స్టేడియాలు మినహా అన్ని స్టేడియాల పేర్లను చూపండి.,SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014
concert_singer,What are the names of all stadiums that did not have a concert in 2014?,2014లో కచేరీ లేని అన్ని స్టేడియాల పేర్లు ఏమిటి?,SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014
concert_singer,Show the name and theme for all concerts and the number of singers in each concert.,అన్ని కచేరీలకు పేరు మరియు థీమ్ మరియు ప్రతి కచేరీలోని గాయకుల సంఖ్యను చూపండి.,"SELECT T2.concert_name ,  T2.theme ,  count(*) FROM singer_in_concert AS T1 JOIN concert AS T2 ON T1.concert_id  =  T2.concert_id GROUP BY T2.concert_id"
concert_singer,"What are the names , themes , and number of singers for every concert ?","ప్రతి కచేరీకి పేర్లు , థీమ్‌లు మరియు గాయకుల సంఖ్య ఏమిటి ?","select t2.concert_name ,  t2.theme ,  count(*) from singer_in_concert as t1 join concert as t2 on t1.concert_id  =  t2.concert_id group by t2.concert_id"
concert_singer,List singer names and number of concerts for each singer.,ప్రతి గాయకుడి పేర్లు మరియు కచేరీల సంఖ్యను జాబితా చేయండి.,"SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id"
concert_singer,What are the names of the singers and number of concerts for each person?,ప్రతి వ్యక్తికి గాయకుల పేర్లు మరియు కచేరీల సంఖ్య ఏమిటి?,"SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id"
concert_singer,List all singer names in concerts in year 2014.,2014 సంవత్సరంలో కచేరీలలోని గాయకులందరి పేర్లను జాబితా చేయండి.,SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id JOIN concert AS T3 ON T1.concert_id  =  T3.concert_id WHERE T3.year  =  2014
concert_singer,What are the names of the singers who performed in a concert in 2014?,2014లో ఒక కచేరీలో చేసిన గాయకుల పేర్లు ఏమిటి?,SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id JOIN concert AS T3 ON T1.concert_id  =  T3.concert_id WHERE T3.year  =  2014
concert_singer,what is the name and nation of the singer who have a song having 'Hey' in its name?,&#39;హే&#39; అనే పాటను కలిగి ఉన్న గాయకుడి పేరు మరియు దేశం ఏమిటి?,"SELECT name ,  country FROM singer WHERE song_name LIKE '%Hey%'"
concert_singer,What is the name and country of origin of every singer who has a song with the word 'Hey' in its title?,టైటిల్‌లో &#39;హే&#39; అనే పదంతో పాట ఉన్న ప్రతి గాయకుడి పేరు మరియు దేశం ఏమిటి?,"SELECT name ,  country FROM singer WHERE song_name LIKE '%Hey%'"
concert_singer,Find the name and location of the stadiums which some concerts happened in the years of both 2014 and 2015.,2014 మరియు 2015 సంవత్సరాల్లో కొన్ని కచేరీలు జరిగిన స్టేడియాల పేరు మరియు స్థానాన్ని కనుగొనండి.,"SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2014 INTERSECT SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2015"
concert_singer,What are the names and locations of the stadiums that had concerts that occurred in both 2014 and 2015?,2014 మరియు 2015 రెండింటిలోనూ కచేరీలు జరిగిన స్టేడియాల పేర్లు మరియు స్థానాలు ఏమిటి?,"SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2014 INTERSECT SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2015"
concert_singer,Find the number of concerts happened in the stadium with the highest capacity .,అత్యధిక సామర్థ్యంతో స్టేడియంలో జరిగిన కచేరీల సంఖ్యను కనుగొనండి.,select count(*) from concert where stadium_id = (select stadium_id from stadium order by capacity desc limit 1)
concert_singer,What are the number of concerts that occurred in the stadium with the largest capacity ?,అతిపెద్ద సామర్థ్యంతో స్టేడియంలో జరిగిన కచేరీల సంఖ్య ఎంత?,select count(*) from concert where stadium_id = (select stadium_id from stadium order by capacity desc limit 1)
pets_1,Find the number of pets whose weight is heavier than 10.,10 కంటే ఎక్కువ బరువున్న పెంపుడు జంతువుల సంఖ్యను కనుగొనండి.,SELECT count(*) FROM pets WHERE weight  >  10
pets_1,How many pets have a greater weight than 10?,ఎన్ని పెంపుడు జంతువులు 10 కంటే ఎక్కువ బరువు కలిగి ఉన్నాయి?,SELECT count(*) FROM pets WHERE weight  >  10
pets_1,Find the weight of the youngest dog.,చిన్న కుక్క బరువును కనుగొనండి.,SELECT weight FROM pets ORDER BY pet_age LIMIT 1
pets_1,How much does the youngest dog weigh?,చిన్న కుక్క బరువు ఎంత?,SELECT weight FROM pets ORDER BY pet_age LIMIT 1
pets_1,Find the maximum weight for each type of pet. List the maximum weight and pet type.,ప్రతి రకమైన పెంపుడు జంతువు కోసం గరిష్ట బరువును కనుగొనండి. గరిష్ట బరువు మరియు పెంపుడు జంతువు రకాన్ని జాబితా చేయండి.,"SELECT max(weight) ,  petType FROM pets GROUP BY petType"
pets_1,List the maximum weight and type for each type of pet.,పెంపుడు జంతువు యొక్క ప్రతి రకం కోసం గరిష్ట బరువు మరియు రకాన్ని జాబితా చేయండి.,"SELECT max(weight) ,  petType FROM pets GROUP BY petType"
pets_1,Find number of pets owned by students who are older than 20.,20 ఏళ్ల కంటే ఎక్కువ వయస్సు ఉన్న విద్యార్థుల పెంపుడు జంతువుల సంఖ్యను కనుగొనండి.,SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid WHERE T1.age  >  20
pets_1,How many pets are owned by students that have an age greater than 20?,20 ఏళ్ల కంటే ఎక్కువ వయస్సు ఉన్న విద్యార్థులు ఎన్ని పెంపుడు జంతువులను కలిగి ఉన్నారు?,SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid WHERE T1.age  >  20
pets_1,Find the number of dog pets that are raised by female students (with sex F).,మహిళా విద్యార్థులు (సెక్స్ ఎఫ్‌తో) పెంచే కుక్క పెంపుడు జంతువుల సంఖ్యను కనుగొనండి.,SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T2.petid  =  T3.petid WHERE T1.sex  =  'F' AND T3.pettype  =  'dog'
pets_1,How many dog pets are raised by female students?,విద్యార్థినులు ఎన్ని కుక్క పెంపుడు జంతువులను పెంచుతున్నారు?,SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T2.petid  =  T3.petid WHERE T1.sex  =  'F' AND T3.pettype  =  'dog'
pets_1,Find the number of distinct type of pets.,విభిన్న రకాల పెంపుడు జంతువుల సంఖ్యను కనుగొనండి.,SELECT count(DISTINCT pettype) FROM pets
pets_1,How many different types of pet are there?,ఎన్ని రకాల పెంపుడు జంతువులు ఉన్నాయి?,SELECT count(DISTINCT pettype) FROM pets
pets_1,Find the first name of students who have cat or dog pet.,పిల్లి లేదా కుక్క పెంపుడు జంతువులను కలిగి ఉన్న విద్యార్థుల మొదటి పేరును కనుగొనండి.,SELECT DISTINCT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat' OR T3.pettype  =  'dog'
pets_1,What are the first names of every student who has a cat or dog as a pet?,పిల్లి లేదా కుక్కను పెంపుడు జంతువుగా కలిగి ఉన్న ప్రతి విద్యార్థి మొదటి పేర్లు ఏమిటి?,SELECT DISTINCT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat' OR T3.pettype  =  'dog'
pets_1,Find the first name of students who have both cat and dog pets .,పిల్లి మరియు కుక్క పెంపుడు జంతువులను కలిగి ఉన్న విద్యార్థుల మొదటి పేరును కనుగొనండి.,select t1.fname from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid join pets as t3 on t3.petid  =  t2.petid where t3.pettype  =  'cat' intersect select t1.fname from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid join pets as t3 on t3.petid  =  t2.petid where t3.pettype  =  'dog'
pets_1,What are the students' first names who have both cats and dogs as pets?,పిల్లులు మరియు కుక్కలను పెంపుడు జంతువులుగా కలిగి ఉన్న విద్యార్థుల మొదటి పేర్లు ఏమిటి?,SELECT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat' INTERSECT SELECT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'dog'
pets_1,Find the major and age of students who do not have a cat pet.,పిల్లి పెంపుడు జంతువు లేని విద్యార్థుల ప్రధాన మరియు వయస్సును కనుగొనండి.,"SELECT major ,  age FROM student WHERE stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat')"
pets_1,"What major is every student who does not own a cat as a pet, and also how old are they?","పెంపుడు జంతువుగా పిల్లిని సొంతం చేసుకోని ప్రతి విద్యార్థి ఏ మేజర్, మరియు వారి వయస్సు ఎంత?","SELECT major ,  age FROM student WHERE stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat')"
pets_1,Find the id of students who do not have a cat pet.,పిల్లి పెంపుడు జంతువు లేని విద్యార్థుల IDని కనుగొనండి.,SELECT stuid FROM student EXCEPT SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat'
pets_1,What are the ids of the students who do not own cats as pets?,పిల్లులను పెంపుడు జంతువులుగా పెంచుకోని విద్యార్థుల ఐడీలు ఏమిటి?,SELECT stuid FROM student EXCEPT SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat'
pets_1,Find the first name and age of students who have a dog but do not have a cat as a pet.,"కుక్కను కలిగి ఉండి, పెంపుడు జంతువుగా పిల్లి లేని విద్యార్థుల మొదటి పేరు మరియు వయస్సును కనుగొనండి.","SELECT T1.fname ,  T1.age FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'dog' AND T1.stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat')"
pets_1,What is the first name of every student who has a dog but does not have a cat?,కుక్కను కలిగి ఉండి పిల్లి లేని ప్రతి విద్యార్థి మొదటి పేరు ఏమిటి?,"SELECT T1.fname ,  T1.age FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'dog' AND T1.stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat')"
pets_1,Find the type and weight of the youngest pet.,చిన్న పెంపుడు జంతువు రకం మరియు బరువును కనుగొనండి.,"SELECT pettype ,  weight FROM pets ORDER BY pet_age LIMIT 1"
pets_1,"What type of pet is the youngest animal, and how much does it weigh?","ఏ రకమైన పెంపుడు జంతువు చిన్న జంతువు, దాని బరువు ఎంత?","SELECT pettype ,  weight FROM pets ORDER BY pet_age LIMIT 1"
pets_1,Find the id and weight of all pets whose age is older than 1.,1 కంటే ఎక్కువ వయస్సు ఉన్న అన్ని పెంపుడు జంతువుల ఐడి మరియు బరువును కనుగొనండి.,"SELECT petid ,  weight FROM pets WHERE pet_age  >  1"
pets_1,What is the id and weight of every pet who is older than 1?,1 కంటే ఎక్కువ వయస్సు ఉన్న ప్రతి పెంపుడు జంతువు యొక్క ఐడి మరియు బరువు ఎంత?,"SELECT petid ,  weight FROM pets WHERE pet_age  >  1"
pets_1,Find the average and maximum age for each type of pet.,ప్రతి రకమైన పెంపుడు జంతువుకు సగటు మరియు గరిష్ట వయస్సును కనుగొనండి.,"SELECT avg(pet_age) ,  max(pet_age) ,  pettype FROM pets GROUP BY pettype"
pets_1,What is the average and maximum age for each pet type?,ప్రతి పెంపుడు జంతువుల సగటు మరియు గరిష్ట వయస్సు ఎంత?,"SELECT avg(pet_age) ,  max(pet_age) ,  pettype FROM pets GROUP BY pettype"
pets_1,Find the average weight for each pet type.,ప్రతి పెంపుడు జంతువుల సగటు బరువును కనుగొనండి.,"SELECT avg(weight) ,  pettype FROM pets GROUP BY pettype"
pets_1,What is the average weight for each type of pet?,ప్రతి రకమైన పెంపుడు జంతువుల సగటు బరువు ఎంత?,"SELECT avg(weight) ,  pettype FROM pets GROUP BY pettype"
pets_1,Find the first name and age of students who have a pet.,పెంపుడు జంతువును కలిగి ఉన్న విద్యార్థుల మొదటి పేరు మరియు వయస్సును కనుగొనండి.,"SELECT DISTINCT T1.fname ,  T1.age FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid"
pets_1,What are the different first names and ages of the students who do have pets?,పెంపుడు జంతువులను కలిగి ఉన్న విద్యార్థుల వివిధ మొదటి పేర్లు మరియు వయస్సు ఏమిటి?,"SELECT DISTINCT T1.fname ,  T1.age FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid"
pets_1,Find the id of the pet owned by student whose last name is ‘Smith’.,&#39;స్మిత్&#39; అనే ఇంటిపేరు ఉన్న విద్యార్థికి చెందిన పెంపుడు జంతువు ఐడిని కనుగొనండి.,SELECT T2.petid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid WHERE T1.Lname  =  'Smith'
pets_1,What is the id of the pet owned by the student whose last name is 'Smith'?,&#39;స్మిత్&#39; అనే ఇంటిపేరు కలిగిన విద్యార్థి పెంపుడు జంతువు యొక్క ID ఏమిటి?,SELECT T2.petid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid WHERE T1.Lname  =  'Smith'
pets_1,Find the number of pets for each student who has any pet and student id.,ఏదైనా పెంపుడు జంతువు మరియు విద్యార్థి ఐడిని కలిగి ఉన్న ప్రతి విద్యార్థికి పెంపుడు జంతువుల సంఖ్యను కనుగొనండి.,"SELECT count(*) ,  T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid GROUP BY T1.stuid"
pets_1,"For students who have pets , how many pets does each student have ? list their ids instead of names .","పెంపుడు జంతువులను కలిగి ఉన్న విద్యార్థులకు, ప్రతి విద్యార్థికి ఎన్ని పెంపుడు జంతువులు ఉన్నాయి? పేర్లకు బదులుగా వారి ఐడిలను జాబితా చేయండి.","select count(*) ,  t1.stuid from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid group by t1.stuid"
pets_1,Find the first name and gender of student who have more than one pet.,ఒకటి కంటే ఎక్కువ పెంపుడు జంతువులను కలిగి ఉన్న విద్యార్థి యొక్క మొదటి పేరు మరియు లింగాన్ని కనుగొనండి.,"SELECT T1.fname ,  T1.sex FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid GROUP BY T1.stuid HAVING count(*)  >  1"
pets_1,What is the first name and gender of the all the students who have more than one pet?,ఒకటి కంటే ఎక్కువ పెంపుడు జంతువులను కలిగి ఉన్న విద్యార్థులందరి మొదటి పేరు మరియు లింగం ఏమిటి?,"SELECT T1.fname ,  T1.sex FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid GROUP BY T1.stuid HAVING count(*)  >  1"
pets_1,Find the last name of the student who has a cat that is age 3.,3 సంవత్సరాల వయస్సు గల పిల్లిని కలిగి ఉన్న విద్యార్థి యొక్క చివరి పేరును కనుగొనండి.,SELECT T1.lname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pet_age  =  3 AND T3.pettype  =  'cat'
pets_1,What is the last name of the student who has a cat that is 3 years old?,3 సంవత్సరాల వయస్సు గల పిల్లిని కలిగి ఉన్న విద్యార్థి ఇంటి పేరు ఏమిటి?,SELECT T1.lname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pet_age  =  3 AND T3.pettype  =  'cat'
pets_1,Find the average age of students who do not have any pet .,పెంపుడు జంతువు లేని విద్యార్థుల సగటు వయస్సును కనుగొనండి.,select avg(age) from student where stuid not in (select stuid from has_pet)
pets_1,What is the average age for all students who do not own any pets ?,పెంపుడు జంతువులు లేని విద్యార్థులందరికీ సగటు వయస్సు ఎంత?,select avg(age) from student where stuid not in (select stuid from has_pet)
car_1,How many continents are there?,ఎన్ని ఖండాలు ఉన్నాయి?,SELECT count(*) FROM CONTINENTS;
car_1,What is the number of continents?,ఖండాల సంఖ్య ఎంత?,SELECT count(*) FROM CONTINENTS;
car_1,"How many countries does each continent have? List the continent id, continent name and the number of countries.","ప్రతి ఖండానికి ఎన్ని దేశాలు ఉన్నాయి? ఖండం ID, ఖండం పేరు మరియు దేశాల సంఖ్యను జాబితా చేయండి.","SELECT T1.ContId ,  T1.Continent ,  count(*) FROM CONTINENTS AS T1 JOIN COUNTRIES AS T2 ON T1.ContId  =  T2.Continent GROUP BY T1.ContId;"
car_1,"For each continent, list its id, name, and how many countries it has?","ప్రతి ఖండం కోసం, దాని ఐడి, పేరు మరియు దానికి ఎన్ని దేశాలున్నాయి?","SELECT T1.ContId ,  T1.Continent ,  count(*) FROM CONTINENTS AS T1 JOIN COUNTRIES AS T2 ON T1.ContId  =  T2.Continent GROUP BY T1.ContId;"
car_1,How many countries are listed?,ఎన్ని దేశాలు జాబితా చేయబడ్డాయి?,SELECT count(*) FROM COUNTRIES;
car_1,How many countries exist?,ఎన్ని దేశాలు ఉన్నాయి?,SELECT count(*) FROM COUNTRIES;
car_1,"How many models does each car maker produce? List maker full name, id and the number.","ప్రతి కార్ల తయారీ సంస్థ ఎన్ని మోడళ్లను ఉత్పత్తి చేస్తుంది? జాబితా తయారీదారు పూర్తి పేరు, ఐడి మరియు సంఖ్య.","SELECT T1.FullName ,  T1.Id ,  count(*) FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker GROUP BY T1.Id;"
car_1,"What is the full name of each car maker, along with its id and how many models it produces?","ప్రతి కారు తయారీదారు యొక్క పూర్తి పేరు ఏమిటి, దాని ఐడితో పాటు అది ఎన్ని మోడల్‌లను ఉత్పత్తి చేస్తుంది?","SELECT T1.FullName ,  T1.Id ,  count(*) FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker GROUP BY T1.Id;"
car_1,Which model of the car has the minimum horsepower?,కారు యొక్క ఏ మోడల్ కనీస హార్స్‌పవర్‌ను కలిగి ఉంది?,SELECT T1.Model FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id ORDER BY T2.horsepower ASC LIMIT 1;
